Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Tynset barneskole;974570068;Innlandet fylke;Tynset kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Tynset ungdomsskole;974570076;Innlandet fylke;Tynset kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Tyrifjord barne- og ungdomsskole (privat);876210762;Viken fylke;Hole kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;13;Antall personer
Tyristrand skole;975284646;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Tysnes skule;975281418;Vestland fylke;Tysnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Tyssedal barneskole;975281728;Vestland fylke;Ullensvang kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Tysværvåg barne- og ungdomsskule;875289462;Rogaland fylke;Tysvær kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;26;Antall personer
Tæruddalen skole;979797699;Viken fylke;Lillestrøm kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;45;Antall personer
Tømmerås skole;975268721;Viken fylke;Drammen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Tøndergård skole og ressurssenter;974574624;Møre og Romsdal fylke;Molde kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Tønsberg Montessori skole (privat);973131621;Vestfold og Telemark fylke;Tønsberg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;16;Antall personer
Tørdal skule;975278468;Vestfold og Telemark fylke;Drangedal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Tørvikbygd skule;973953966;Vestland fylke;Kvam kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Tøyen skole;974590271;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Tårnåsen skole;975290832;Viken fylke;Nordre Follo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Tåsen skole;974590298;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;46;Antall personer
Uggdal skule;975289699;Vestland fylke;Tysnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Ugla skole;975279057;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Ullandhaug skole;974611481;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Ullavik skule;974618575;Møre og Romsdal fylke;Sykkylven kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Ullerøy barneskole;975280500;Viken fylke;Sarpsborg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Ullerål skole;975284573;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Ullevål skole;974590301;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Ullevålsveien skole;974590689;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Ulnes Montessoriskule Sa (privat);993951439;Innlandet fylke;Nord-Aurdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;6;Antall personer
Ulsetskogen skole;874738492;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Ulsmåg skole;974738511;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;44;Antall personer
Ulstein skule;975277399;Møre og Romsdal fylke;Ulstein kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Ulstein ungdomsskule;975290026;Møre og Romsdal fylke;Ulstein kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Ulsteinvik barneskule;975277410;Møre og Romsdal fylke;Ulstein kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Ulsåk oppvekstsenter - Avdeling skule;975284786;Viken fylke;Hemsedal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Ulvang oppvekstsenter Avdeling skole;975286673;Nordland fylke;Leirfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Ulverud skole;975295877;Viken fylke;Nittedal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Ulveset skule;975287661;Vestland fylke;Øygarden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Ulvestad barneskule AS (privat);898211932;Møre og Romsdal fylke;Volda kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;4;Antall personer
Undarheim skule;975281450;Vestland fylke;Kvinnherad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Undheim skule;975275728;Rogaland fylke;Time kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Unneberg skole;974594358;Vestfold og Telemark fylke;Sandefjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Ura skole;980289109;Nordland fylke;Alstahaug kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Uranienborg skole;974590328;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;55;Antall personer
Uskedalen skule;975281574;Vestland fylke;Kvinnherad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Utheim skole;975283550;Møre og Romsdal fylke;Averøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Utleira skole;975294595;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Utsira skole;975274926;Rogaland fylke;Utsira kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Utskarpen barne- og ungdomsskole;975287076;Nordland fylke;Rana kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Utvorda skole;975269078;Trøndelag fylke;Flatanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Utøy skole;975269302;Trøndelag fylke;Inderøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Uvdal skole;975283992;Viken fylke;Nore og Uvdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Vadheim oppvekstsenter - Avd skule;975272095;Vestland fylke;Høyanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Vadmyra skole;974738422;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Vadsø barneskole;914906725;Troms og Finnmark fylke;Vadsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;52;Antall personer
Vadsø ungdomsskole;991639497;Troms og Finnmark fylke;Vadsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Vahl skole;879126312;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Vaksdal skule;974597675;Vestland fylke;Vaksdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Val Skoler AS (privat);974139790;Trøndelag fylke;Nærøysund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;3;Antall personer
Valby skole;982548225;Vestfold og Telemark fylke;Larvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Valderøy barneskule;975284026;Møre og Romsdal fylke;Giske kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Valderøy ungdomsskule;975289974;Møre og Romsdal fylke;Giske kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Valen skule;975281604;Vestland fylke;Kvinnherad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Valestrand oppvekstsenter - Avd skule;975281167;Vestland fylke;Sveio kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Valestrand skule;975286185;Vestland fylke;Osterøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Valldal skule;975289354;Møre og Romsdal fylke;Fjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;26;Antall personer
Valle skule;975277828;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Valle skule;975281019;Agder fylke;Valle kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Vallersund oppvekstsenter;975282538;Trøndelag fylke;Ørland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Vallset skole;975270939;Innlandet fylke;Stange kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;16;Antall personer
Valnesfjord skole - Avd Løkås skole;974628465;Nordland fylke;Fauske - Fuosko kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Valstrand skole;975283283;Agder fylke;Birkenes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Valsvik skule;975272133;Vestland fylke;Vik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;2;Antall personer
Vang barne- og ungdomsskule;974597071;Innlandet fylke;Vang kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Vang skole;875284592;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Vang skole og ressurssenter;975280780;Viken fylke;Moss kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Vangen skule;975281833;Vestland fylke;Voss kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Vangsnes skule;975299988;Vestland fylke;Vik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Vanna Montessoriskole (privat);993898775;Troms og Finnmark fylke;Karlsøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;6;Antall personer
Vannvåg oppvekstsenter - Avd skole;974568993;Troms og Finnmark fylke;Karlsøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Vanse skole;975271404;Agder fylke;Farsund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Vanvik oppvekstsenter - Avd skule;974617072;Rogaland fylke;Suldal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Vanvikan skole;974579901;Trøndelag fylke;Indre Fosen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Vardal ungdomsskole;975292762;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Varden skole;974737973;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Varden ungdomsskole;974594420;Vestfold og Telemark fylke;Sandefjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Vardenes skole;974611406;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Vardeåsen skole;979149689;Viken fylke;Lillestrøm kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Vardø skole - Avd skole;975279634;Troms og Finnmark fylke;Vardø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Vardåsen skole;974598817;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Vardåsen skole;977264502;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Varhaug skule;975275876;Rogaland fylke;Hå kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;44;Antall personer
Varhaug ungdomsskule;975299961;Rogaland fylke;Hå kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;17;Antall personer
Varntresk oppvekstsenter - Avd skole;975286800;Nordland fylke;Hattfjelldal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Vartdal skule;975277631;Møre og Romsdal fylke;Ørsta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Varteig barne- og ungdomsskole;975280489;Viken fylke;Sarpsborg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Vassbonn skole;975298574;Viken fylke;Nordre Follo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Vassenden skule;975276538;Vestland fylke;Sunnfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Vassmyra ungdomsskole;973837397;Agder fylke;Lindesnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Vassøy skole;974611384;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Vatne barneskule;975284085;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Vatne ungdomsskule;975290190;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Vatneli skole (privat);976207270;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;19;Antall personer
Vatnestrøm oppvekstsenter - Avdeling skole;975280926;Agder fylke;Iveland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Vats skule;974618125;Rogaland fylke;Vindafjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Vaulen skole;974611503;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Ve skole;974598809;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Vear Kombinerte skole;975294811;Vestfold og Telemark fylke;Tønsberg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Veavågen skole;975274942;Rogaland fylke;Karmøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Vefsn voksenopplæring;976834151;Nordland fylke;Vefsn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;1;Antall personer
Vega barne- og ungdomsskole;874570702;Nordland fylke;Vega kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Veggli skole;875283952;Viken fylke;Rollag kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Vegårshei skule;975289850;Agder fylke;Vegårshei kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Veiavangen ungdomsskole;974544202;Viken fylke;Drammen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Veien skole;975284611;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Veienmarka ungdomsskole;975299724;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;34;Antall personer
Veitastrond skule;975276295;Vestland fylke;Luster kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Veitvet skole;974590336;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;54;Antall personer
Velle skule;975277666;Møre og Romsdal fylke;Ørsta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Velledalen Montessoriskule AS (privat);995367351;Møre og Romsdal fylke;Sykkylven kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;9;Antall personer
Ven skole;975282279;Trøndelag fylke;Heim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Venabygd Montessoriskole (privat);986124403;Innlandet fylke;Ringebu kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;7;Antall personer
Vengsøy skole;974566575;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;4;Antall personer
Venn oppvekstsenter - Avd skole;874563242;Trøndelag fylke;Skaun kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Vennersberg skole;974576074;Innlandet fylke;Kongsvinger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Vennerød skole;975271099;Vestfold og Telemark fylke;Sandefjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Vennesla skole;975271498;Agder fylke;Vennesla kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;37;Antall personer
Vennesla ungdomsskole;873844302;Agder fylke;Vennesla kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;60;Antall personer
Venstøp skole;975278174;Vestfold og Telemark fylke;Skien kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Verdalsøra barneskole;975279235;Trøndelag fylke;Verdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Verdalsøra ungdomsskole;975279340;Trøndelag fylke;Verdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
